ID,topic_ID,priority_in_topic,age,child_gender,name.eng
care_for_yourself,care_for_yourself,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Care for Yourself
make_a_routine,make_a_routine,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Make a Routine for Time Together
help_children_cope,help_children_cope,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Help Children Cope with Crisis
when_someone_dies,when_someone_dies,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Help our Children when Someone Dies
protect_sexual_violence,protect_sexual_violence,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Protect our Children from Sexual Violence
keep_children_safe,keep_children_safe,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Keep Children Safe
prepare_to_travel,prepare_to_travel,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Prepare to Travel
travel_safely,travel_safely,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Travel Safely
protect_from_traffickers,protect_from_traffickers,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Protect Your Children from Traffickers
care_in_a_shelter,care_in_a_shelter,,0|1|2|3| 4 | 5 | 6 | 7 | 8 | 9|10|11|12|13|14|15|16|17,male|female,Care for your Children in a Shelter
